grantee,grantee_url,amount,fiscal_year,grant_type,grant_description
A Home Within,https://www.baumanfoundation.org/grantee/208,"$1,000",2014-15,General Support,
Ackerman Institute for the Family,https://www.baumanfoundation.org/grantee/207,"$1,500",2014-15,Project Grant,Center for Children and Relational Trauma
Advancement Project,https://www.baumanfoundation.org/grantee/8,"$20,000",2016-17,Project Grant,California Census Policy Advocacy Initiative
Advancement Project,https://www.baumanfoundation.org/grantee/8,"$50,000",2015-16,General Support,
Advancement Project,https://www.baumanfoundation.org/grantee/8,"$50,000",2015-16,General Support,
Advancement Project,https://www.baumanfoundation.org/grantee/8,"$5,000",2015-16,General Support,
Advancement Project,https://www.baumanfoundation.org/grantee/8,"$50,000",2014-15,General Support,
Advancement Project,https://www.baumanfoundation.org/grantee/8,"$6,000",2014-15,General Support,
Advancement Project,https://www.baumanfoundation.org/grantee/8,"$54,000",2013-14,General Support,
Advancement Project,https://www.baumanfoundation.org/grantee/8,"$4,000",2012-13,General Support,
Advancement Project,https://www.baumanfoundation.org/grantee/8,"$5,000",2011-12,General Support,
Advancement Project,https://www.baumanfoundation.org/grantee/8,"$35,000",2009-10,General Support,
Advancement Project,https://www.baumanfoundation.org/grantee/8,"$75,000",2008-09,General Support,
"Agenda Project, The",https://www.baumanfoundation.org/grantee/218,"$10,000",2015-16,Project Grant,The New York Breakfast Series
"Agenda Project, The",https://www.baumanfoundation.org/grantee/218,"$10,000",2014-15,Project Grant,The (NEW) New York Breakfast Series
Alliance for a Just Society,https://www.baumanfoundation.org/grantee/90,"$10,000",2014-15,General Support,
Alliance for a Just Society,https://www.baumanfoundation.org/grantee/90,"$30,000",2013-14,Project Grant,Main Street Alliance
Alliance for a Just Society,https://www.baumanfoundation.org/grantee/90,"$20,000",2013-14,General Support,
Alliance for a Just Society,https://www.baumanfoundation.org/grantee/90,"$20,000",2012-13,General Support,
Alliance for a Just Society,https://www.baumanfoundation.org/grantee/90,"$30,000",2012-13,Project Grant,Main Street Alliance
Alliance for a Just Society,https://www.baumanfoundation.org/grantee/90,"$25,000",2011-12,Project Grant,Main Street Alliance
Alliance for a Just Society,https://www.baumanfoundation.org/grantee/90,"$7,500",2011-12,General Support,
Alliance of Nurses for Healthy Environments,https://www.baumanfoundation.org/grantee/143,"$100,000",2011-12,General Support,
AlterNet,https://www.baumanfoundation.org/grantee/51,"$25,000",2008-09,General Support,
American Bar Association,https://www.baumanfoundation.org/grantee/149,"$50,000",2012-13,Project Grant,Access to Justice Commission Expansion Project
American Friends of the Hebrew University,https://www.baumanfoundation.org/grantee/83,"$12,500",2012-13,General Support,
